Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,House Value,House Construction Year,Monthly Owner Cost,Monthly Rent,Public Transport Rate,Personal Transport Rate,Commute Time Public,Commute Time Car,High School Rate,College Rate,Uneducated Rate,English Language Rate,Spanish Language Rate,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,Housing_units,State
95422,15476.0,42.3,25578.0,16355.0,36.79245283018868,8.41948823985526,86800.0,1976.0,1123.0,789.0,0.8928571428571429,68.87755102040816,0.0,0.0,19.39131558542259,3.889894029464978,0.5815456190230034,74.84492116826053,17.426983716722667,72.22150426466787,6.216076505556991,23.90152494184544,0.3941586973378134,Clearlake,Lake County,38.97,-122.64,8546.0,CA
95423,3260.0,55.8,27889.0,18760.0,33.06748466257669,7.239263803680981,160100.0,1975.0,1307.0,861.0,3.729281767955801,69.88950276243094,0.0,0.0,17.94478527607362,6.319018404907975,0.5828220858895705,91.80981595092024,1.687116564417178,89.96932515337423,1.7177914110429449,6.349693251533743,0.4907975460122699,Clearlake Oaks,Lake County,39.1,-122.6,2680.0,CA
95425,10597.0,42.3,60517.0,29688.0,8.106067755025007,3.189581957157686,353400.0,1982.0,2026.0,1127.0,2.473958333333333,76.15017361111111,12400.0,86280.0,13.32452580919128,11.446635840332169,2.613947343587808,65.41474002076059,23.27073700103803,77.69179956591488,0.990846465980938,31.11257903180145,4.916485797867321,Cloverdale,Sonoma County,38.8,-123.0,4544.0,CA
95426,1544.0,50.9,62833.0,27425.0,24.74093264248705,4.274611398963731,195100.0,1979.0,1295.0,909.0,0.0,79.67625899280576,0.0,0.0,10.038860103626943,18.71761658031088,1.7487046632124352,89.83160621761658,0.194300518134715,91.9041450777202,0.0,7.707253886010362,6.282383419689119,Cobb,Lake County,38.81,-122.73,1315.0,CA
95428,2365.0,40.1,30975.0,16874.0,31.585623678646936,7.906976744186046,235800.0,1973.0,1250.0,1002.0,0.1434720229555236,58.53658536585366,0.0,0.0,16.152219873150106,9.006342494714588,0.0,82.95983086680761,9.386892177589852,57.58985200845666,0.507399577167019,16.49048625792812,0.1268498942917547,Covelo,Mendocino County,39.7,-123.1,1160.0,CA
95436,6052.0,48.2,54667.0,30291.0,12.723066754791803,6.064111037673497,374300.0,1959.0,1918.0,1324.0,1.5272474835126693,68.27490454703228,0.0,0.0,13.797091870456049,17.812293456708527,0.380039656311963,86.03767349636483,7.204230006609385,85.34368803701256,2.660277594183741,16.044282881692002,1.5366820885657635,Forestville,Sonoma County,38.5,-122.91,2995.0,CA
95437,14492.0,45.2,39037.0,24745.0,19.479712945073143,3.712393044438311,333600.0,1973.0,1879.0,987.0,0.0,70.81983978183058,-666666666.0,62575.0,16.754071211703007,11.047474468672371,0.9660502346122,72.22605575489925,18.762075627932653,87.24813690311896,0.8211426994203699,24.737786364890976,1.766491857576594,Fort Bragg,Mendocino County,39.5,-123.7,7082.0,CA
95439,779.0,45.2,57019.0,29602.0,32.99101412066752,9.75609756097561,537500.0,1957.0,3157.0,919.0,0.0,78.01608579088472,0.0,0.0,19.897304236200256,6.290115532734275,0.0,50.3209242618742,40.05134788189987,65.34017971758665,0.0,42.74711168164313,0.8985879332477535,Fulton,Sonoma County,38.49,-122.78,263.0,CA
95441,1970.0,43.2,59276.0,30038.0,11.573604060913706,1.8274111675126905,686600.0,1975.0,2045.0,1110.0,0.7014028056112225,67.03406813627255,0.0,0.0,11.6751269035533,12.48730964467005,2.33502538071066,62.94416243654823,31.725888324873097,67.81725888324873,1.6243654822335023,34.87309644670051,0.4568527918781725,Geyserville,Sonoma County,38.7,-123.1,847.0,CA
95442,3118.0,51.1,65000.0,48947.0,12.15522771007056,0.8017960230917255,614100.0,1969.0,2335.0,1373.0,0.7601935038009675,62.61230131306151,0.0,0.0,12.09108402822322,23.348300192431047,0.0,80.88518280949326,4.2014111610006415,91.34060295060937,1.988454137267479,6.927517639512508,3.367543296985247,Glen Ellen,Sonoma County,38.4,-122.51,1750.0,CA
95444,710.0,41.7,83304.0,26856.0,8.450704225352112,9.859154929577464,384900.0,1975.0,1902.0,1544.0,0.0,88.52459016393442,0.0,0.0,14.647887323943662,12.95774647887324,0.0,53.098591549295776,41.40845070422535,40.84507042253521,0.0,48.45070422535211,0.0,Graton,Sonoma County,38.435,-122.869,288.0,CA
95445,1728.0,57.7,40602.0,32160.0,8.159722222222221,4.166666666666667,452600.0,1984.0,1908.0,898.0,0.0,66.66666666666667,0.0,0.0,19.733796296296298,16.89814814814815,0.4050925925925926,90.74074074074076,3.9930555555555554,92.1875,1.9097222222222223,11.631944444444445,2.2569444444444446,Gualala,Mendocino County,38.8,-123.5,1421.0,CA
95446,4281.0,49.4,43762.0,34035.0,18.57042747021724,5.512730670404111,362100.0,1952.0,2206.0,1007.0,4.72636815920398,71.49253731343283,0.0,0.0,12.356925951880402,16.935295491707546,0.1401541695865452,88.13361364167251,4.017752861480963,88.67087129175427,0.2569493109086662,8.12894183601962,1.16795141322121,Guerneville,Sonoma County,38.52,-122.99,3565.0,CA
95448,17631.0,45.3,66373.0,42513.0,10.231977766434122,3.2386138052294253,627000.0,1973.0,2490.0,1309.0,1.1000967117988394,68.76208897485493,5825.0,128165.0,11.46843627701208,17.576995065509614,0.8337587204355964,70.06976348477114,23.180761159321648,77.77777777777777,0.5841982871079349,29.862174578866767,1.0322727014916908,Healdsburg,Sonoma County,38.7,-122.9,7753.0,CA
95449,1708.0,38.9,40710.0,20545.0,21.95550351288056,12.06088992974239,396100.0,1970.0,2350.0,843.0,0.0,58.56115107913669,0.0,0.0,15.925058548009368,12.880562060889927,0.0,75.76112412177986,14.637002341920375,72.30679156908666,0.0,24.76580796252928,4.976580796252928,Hopland,Mendocino County,38.9,-123.0,606.0,CA
95450,262.0,60.3,56458.0,45081.0,11.83206106870229,8.396946564885496,477300.0,1972.0,2000.0,970.0,0.0,57.93650793650794,0.0,0.0,23.66412213740458,23.282442748091604,0.0,86.6412213740458,4.580152671755725,92.36641221374046,3.053435114503817,5.7251908396946565,0.0,Jenner,Sonoma County,38.5,-123.2,366.0,CA
95451,12212.0,44.6,44483.0,22856.0,21.56894857517196,5.289878807730101,197300.0,1981.0,1583.0,1152.0,0.0692041522491349,79.03114186851211,0.0,0.0,16.221749099246644,8.221421552571242,1.2119226989846053,75.56501801506715,16.844087782509007,77.02260072060268,0.696036685227645,25.87618735669833,1.2692433671798231,Kelseyville,Lake County,38.9,-122.8,5911.0,CA
95453,10244.0,47.7,42758.0,24035.0,16.116751269035532,3.9828192112456073,187000.0,1977.0,1539.0,878.0,0.1083423618634886,69.7453954496208,0.0,0.0,19.45529090199141,10.835611089418196,1.7083170636470129,84.47871925029285,8.531823506442796,80.40804373291682,1.434986333463491,16.331511128465444,1.2299882858258493,Lakeport,Lake County,39.0,-122.9,5533.0,CA
