Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,House Value,House Construction Year,Monthly Owner Cost,Monthly Rent,Public Transport Rate,Personal Transport Rate,Commute Time Public,Commute Time Car,High School Rate,College Rate,Uneducated Rate,English Language Rate,Spanish Language Rate,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,Housing_units,State
90001,56314.0,27.3,34050.0,11224.0,33.55115956955642,5.645132649074831,241800.0,1951.0,1649.0,975.0,16.742887401915947,64.07837096230683,,,11.57438647583194,1.7917391767588875,3.7859146926164007,12.3912348616685,77.82789359661896,49.89345455836914,9.464786731541002,89.8142557800902,0.1473878609226835,Los Angeles,Los Angeles County,33.97,-118.25,13788.0,CA
90002,50098.0,26.2,30214.0,10497.0,36.15912810890654,5.561100243522696,218800.0,1951.0,1633.0,968.0,13.659163200391486,65.78174700269146,,,13.475587847818275,1.6707253782586131,3.0061080282646016,26.43219290191225,63.71511836799872,48.3751846381093,24.583815721186475,74.1845981875524,0.3014092378937283,Los Angeles,Los Angeles County,33.95,-118.25,12598.0,CA
90003,66913.0,26.8,30016.0,9915.0,38.38118153423102,6.8745983590632616,228600.0,1949.0,1683.0,1064.0,17.4998898823944,58.93934722283399,,,11.907999940220884,2.7020160506926905,2.820079805120081,24.66635780789981,65.06657899062962,22.38578452617578,24.63796272772107,74.11115926651024,0.3616636528028933,Los Angeles,Los Angeles County,33.96,-118.27,17127.0,CA
90004,63547.0,35.8,38493.0,26575.0,25.135726312807844,7.929563944796764,724900.0,1949.0,3578.0,1070.0,23.08361287116412,58.24947198409741,,,10.703888460509544,16.96382205296867,3.18189686373865,23.946055675326924,44.79676459943034,34.54293672399956,3.5737328276708578,50.83166789935009,25.64873243426125,Los Angeles,Los Angeles County,34.08,-118.31,24278.0,CA
90005,38638.0,34.0,31214.0,19305.0,28.316683058129303,7.00087996273099,635500.0,1953.0,3252.0,939.0,35.08710801393728,44.609258337481336,324945.0,248820.0,14.938661421398622,14.565971323567473,2.8598788757182048,16.064496091930224,46.03757958486464,19.55070138205912,4.280759873699467,52.79258760805425,33.32470624773539,Los Angeles,Los Angeles County,34.06,-118.31,16345.0,CA
90006,61419.0,33.5,31403.0,13295.0,30.511730897604977,8.176622869144728,403200.0,1956.0,2327.0,940.0,34.7397888630308,42.9457991837836,492870.0,361000.0,16.244158973607515,7.847734414432016,3.850599977205751,9.612660577345771,67.21861313274394,18.059558117195003,3.2400397271202723,74.57627118644068,18.066070759862583,Los Angeles,Los Angeles County,34.05,-118.29,20332.0,CA
90007,43779.0,24.0,22646.0,10961.0,40.95114095799356,5.977751890175655,372500.0,1957.0,2050.0,1038.0,17.65439429928741,44.16270783847981,,,9.091116745471574,6.539665136252541,2.3344525914251126,31.930834418328423,44.39571484044862,28.78549076041024,10.132712030882386,52.11402727335024,18.703031133648555,Los Angeles,Los Angeles County,34.03,-118.28,12762.0,CA
90008,33012.0,41.5,36180.0,24589.0,26.26014782503332,6.64909729795226,443800.0,1953.0,2354.0,1032.0,13.84785528082787,69.37356821233905,105775.0,242345.0,14.727977705076942,10.793044953350297,0.9754028837998304,69.10820307766873,19.432327638434508,12.14709802496062,69.3020719738277,22.179813401187445,3.226099600145402,Los Angeles,Los Angeles County,34.01,-118.35,15006.0,CA
90010,3792.0,39.5,47308.0,42849.0,17.985232067510548,5.063291139240507,569900.0,1984.0,3523.0,1637.0,8.329560887279312,55.04753282028067,7035.0,30765.0,11.761603375527429,27.953586497890296,0.3428270042194092,21.149789029535864,7.093881856540085,19.699367088607595,1.8196202531645569,8.70253164556962,73.65506329113924,Los Angeles,Los Angeles County,34.06,-118.3,2382.0,CA
90011,102926.0,27.8,29889.0,9350.0,43.9150457610322,4.265200240949809,269100.0,1944.0,1772.0,993.0,21.82154415164124,54.71824112600812,325150.0,542225.0,10.484231389542002,1.3660299632745856,4.646056390027787,10.137380253774555,79.46971610671744,29.31232147368012,8.015467423197249,90.42613139537144,0.6441521092823971,Los Angeles,Los Angeles County,34.01,-118.26,23547.0,CA
