Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,House Value,House Construction Year,Monthly Owner Cost,Monthly Rent,Public Transport Rate,Personal Transport Rate,Commute Time Public,Commute Time Car,High School Rate,College Rate,Uneducated Rate,English Language,Spanish Language,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,Housing_units,State
90001,58738.0,28.7,35660.0,11882.0,31.7579760972454,4.974633116551466,305500.0,1949.0,1695.0,1051.0,13.802978235967927,66.02784386289541,153420.0,448450.0,12.70216895365862,2.1008546426504138,3.736933501310906,,,32.367462290169904,9.16442507405768,89.84132929279171,0.2247267526984235,Los Angeles,Los Angeles County,33.97,-118.25,13788.0,CA
90002,52856.0,27.7,34000.0,11807.0,33.666944150143784,5.032541244135008,272400.0,1951.0,1678.0,1074.0,15.47009008037111,66.55159393710557,155145.0,395315.0,13.877327077342212,2.3800514605721204,3.032768276070834,,,37.683517481459056,21.569925836234297,76.42084153170879,0.5656879067655517,Los Angeles,Los Angeles County,33.95,-118.25,12598.0,CA
90003,70490.0,28.2,34397.0,11305.0,32.92949354518371,5.440488012484041,300700.0,1951.0,1688.0,1133.0,14.607865773878242,64.5616870622643,,,13.34373670024117,2.4755284437508864,3.176337069087814,,,29.767342885515674,22.383316782522343,76.76691729323308,0.2851468293374947,Los Angeles,Los Angeles County,33.96,-118.27,17127.0,CA
90004,62733.0,35.1,46581.0,30590.0,19.10477738989049,4.182806497377776,918500.0,1943.0,3467.0,1177.0,19.07288301372299,64.71738937135066,,,13.361388742766964,17.443769626831173,2.797570656592224,,,37.75843654854702,4.055281909043087,51.35096360767061,25.074522181308083,Los Angeles,Los Angeles County,34.08,-118.31,24278.0,CA
90005,39562.0,35.4,32461.0,21566.0,28.562762246600272,5.156463272837572,713400.0,1949.0,3067.0,1060.0,29.45582100872204,50.123246113007205,289840.0,301320.0,14.24093827410141,16.65739851372529,2.727364642839088,,,20.33517011273444,6.228198776603811,49.519741165765126,34.82382083817805,Los Angeles,Los Angeles County,34.06,-118.31,16345.0,CA
90006,62329.0,33.2,33790.0,15314.0,28.429783888719538,5.475781738837459,530500.0,1947.0,2417.0,1030.0,29.84092155787164,48.69155561291988,,,14.773219528630332,9.0295047249274,4.221149063838663,,,26.15636381138796,3.3531742848433312,73.8644932535417,18.1536684368432,Los Angeles,Los Angeles County,34.05,-118.29,20332.0,CA
90007,41221.0,24.6,23070.0,13013.0,40.05967831930327,5.885349700395429,523500.0,1955.0,2178.0,1111.0,16.89457432730481,45.88190812275506,136920.0,222175.0,9.235583804371558,8.173018607020694,2.979064069285073,,,29.83673370369472,10.962858737051503,49.69069163775745,20.22512796875379,Los Angeles,Los Angeles County,34.03,-118.28,12762.0,CA
90008,32359.0,43.0,36641.0,28926.0,22.272010877962853,5.537871998516642,566000.0,1953.0,2491.0,1097.0,11.2973658261727,71.61572052401746,104060.0,313830.0,13.510924317809572,11.125189282734324,1.0136283568713496,,,18.36892363793689,66.72641305355542,23.23928427948948,3.241756543774529,Los Angeles,Los Angeles County,34.01,-118.35,15006.0,CA
90010,3759.0,38.8,47115.0,36598.0,14.232508645916468,4.761904761904762,816300.0,1986.0,3776.0,1692.0,11.459353574926542,47.355533790401566,,,15.137004522479383,31.417930300611864,1.8888002128225592,,,23.06464485235435,4.788507581803671,10.45490822027135,66.21441872838521,Los Angeles,Los Angeles County,34.06,-118.3,2382.0,CA
90011,108051.0,28.0,33824.0,10887.0,35.94506297951893,3.659383069106256,328500.0,1945.0,1835.0,1074.0,18.56069232521066,58.00956501935778,377980.0,743795.0,10.952235518412602,1.726036778928469,3.604779224625408,,,40.91031087171798,8.366419561133169,90.19259423790618,0.5728776226041407,Los Angeles,Los Angeles County,34.01,-118.26,23547.0,CA
90012,33783.0,35.5,38786.0,24502.0,22.292277180830595,2.8801468194062103,465100.0,1984.0,2567.0,1327.0,11.60176635889201,56.724207145724606,,,12.035639226830062,15.196992570227629,3.975372228635704,,,28.5853831808898,12.725335227777284,28.546902288133083,40.42565787526271,Los Angeles,Los Angeles County,34.06,-118.24,11370.0,CA
90013,11957.0,43.4,22808.0,37228.0,44.476039140252574,6.832817596387054,531900.0,1939.0,2326.0,810.0,23.21792260692464,42.14034438067025,67475.0,68210.0,15.681190934180815,24.82227983607929,1.488667726018232,,,35.68620891527975,30.74349753282596,16.3418917788743,16.74333026678933,Los Angeles,Los Angeles County,34.05,-118.24,7516.0,CA
90014,7408.0,40.5,37619.0,46026.0,34.557235421166304,5.197084233261339,417200.0,1939.0,2183.0,1550.0,15.636105188343992,44.51551764984601,,,10.934125269978402,31.762958963282937,0.769438444924406,,,51.295896328293736,17.61609071274298,17.79157667386609,16.144708423326133,Los Angeles,Los Angeles County,34.044,-118.252,4990.0,CA
90015,20187.0,32.4,32979.0,31423.0,36.72165254866994,4.319611631247833,617400.0,1979.0,2766.0,1064.0,24.36235708003518,45.89074562689338,,,7.742606628027938,14.078367266062315,2.883043542874127,,,33.41754594541041,6.776638430673206,64.56135136473968,14.92049338683311,Los Angeles,Los Angeles County,34.04,-118.27,8245.0,CA
90016,46303.0,37.1,43443.0,23410.0,22.104399282983824,4.178994881541153,458100.0,1948.0,2116.0,1163.0,10.444900752908966,70.46771617613507,115910.0,461525.0,15.033583137161738,9.323369976027472,2.500917867092845,,,39.23071939183206,32.96978597499082,53.082953588320414,3.855041789948815,Los Angeles,Los Angeles County,34.03,-118.36,17204.0,CA
90017,26390.0,30.8,28638.0,21874.0,42.148541114058354,3.486169003410383,589300.0,1971.0,3368.0,951.0,36.42008848870605,34.844368547698515,,,8.798787419477074,12.51231527093596,3.918150814702539,,,37.02538840469875,5.361879499810534,65.45661235316408,15.547555892383478,Los Angeles,Los Angeles County,34.05,-118.26,10610.0,CA
90018,52287.0,34.9,37341.0,18577.0,24.669611949432937,5.163807447357852,454900.0,1940.0,1943.0,1050.0,14.923218270114187,67.2397952487203,192575.0,461980.0,15.397708799510395,7.923575649779104,2.8534817449844128,,,19.389140704190336,31.17409681182703,58.4122248360013,4.2247595004494425,Los Angeles,Los Angeles County,34.03,-118.32,16658.0,CA
90019,67415.0,37.8,50671.0,30842.0,18.44396647630349,4.085144255729437,774600.0,1945.0,2865.0,1245.0,12.70363853096441,68.85962422659931,,,13.456945783579322,15.772454201587184,2.3763257435288883,,,33.089075131647256,18.931988429874657,47.68374990729066,16.304976637246902,Los Angeles,Los Angeles County,34.05,-118.34,25116.0,CA
90020,39191.0,34.5,42407.0,28351.0,18.17509121992294,4.623510499859662,623200.0,1968.0,2316.0,1221.0,17.286028140045808,64.19856962557846,,,14.750835651042332,23.456916128703018,1.0487101630476383,,,25.574749304687305,4.909290398305734,31.98948738230716,48.12074200709347,Los Angeles,Los Angeles County,34.07,-118.31,17900.0,CA
90021,3158.0,42.9,12864.0,30598.0,48.44838505383154,6.396453451551615,915000.0,1939.0,3539.0,473.0,33.40410474168436,22.29299363057325,,,13.267891070297656,14.661177960734642,3.324889170360988,,,37.42875237492083,22.54591513616213,48.036732108929705,1.6466117796073465,Los Angeles,Los Angeles County,34.03,-118.24,1761.0,CA
90022,67446.0,32.1,41276.0,14895.0,22.782670580909173,6.120451917089227,349600.0,1947.0,1622.0,1022.0,8.21256038647343,70.85947076213137,,,15.083177653233696,3.5925036325356583,3.261868754262669,,,56.29244136049581,0.2950508554992141,95.9271120600184,1.275094149393589,Los Angeles,Los Angeles County,34.03,-118.15,17713.0,CA
